Item,Cost,Product Url,Item Url,Swatch Url,Model Url,RGB
Harrington jacket in cotton twill,$168,https://www.jcrew.com/p/mens/categories/clothing/coats-and-jackets/bomber-jacket/harrington-jacket-in-cotton-twill/BJ059?display=standard&fit=Classic&color_name=frosty-olive&colorProductCode=BJ059,https://www.jcrew.com/s7-img-facade/BJ059_GR5863,https://www.jcrew.com/s7-img-facade/BJ059_GR5863_sw,https://www.jcrew.com/s7-img-facade/BJ059_GR5863_m,[134 111  64]
Harrington jacket in cotton twill,$168,https://www.jcrew.com/p/mens/categories/clothing/coats-and-jackets/bomber-jacket/harrington-jacket-in-cotton-twill/BJ059?display=standard&fit=Classic&color_name=frosty-olive&colorProductCode=BJ059,https://www.jcrew.com/s7-img-facade/BJ059_WZ2051,https://www.jcrew.com/s7-img-facade/BJ059_WZ2051_sw,https://www.jcrew.com/s7-img-facade/BJ059_WZ2051_m,[207 177 143]
Harrington jacket in cotton twill,$168,https://www.jcrew.com/p/mens/categories/clothing/coats-and-jackets/bomber-jacket/harrington-jacket-in-cotton-twill/BJ059?display=standard&fit=Classic&color_name=frosty-olive&colorProductCode=BJ059,https://www.jcrew.com/s7-img-facade/BJ059_GR5863,https://www.jcrew.com/s7-img-facade/BJ059_GR5863_sw,https://www.jcrew.com/s7-img-facade/BJ059_GR5863_m,[134 111  64]
Harrington jacket in cotton twill,$168,https://www.jcrew.com/p/mens/categories/clothing/coats-and-jackets/bomber-jacket/harrington-jacket-in-cotton-twill/BJ059?display=standard&fit=Classic&color_name=frosty-olive&colorProductCode=BJ059,https://www.jcrew.com/s7-img-facade/BJ059_BL8133,https://www.jcrew.com/s7-img-facade/BJ059_BL8133_sw,https://www.jcrew.com/s7-img-facade/BJ059_BL8133_m,[31 34 50]
Harrington jacket in cotton twill,$168,https://www.jcrew.com/p/mens/categories/clothing/coats-and-jackets/bomber-jacket/harrington-jacket-in-cotton-twill/BJ059?display=standard&fit=Classic&color_name=frosty-olive&colorProductCode=BJ059,https://www.jcrew.com/s7-img-facade/BJ059_BK0001,https://www.jcrew.com/s7-img-facade/BJ059_BK0001_sw,https://www.jcrew.com/s7-img-facade/BJ059_BK0001_m,[39 36 38]
Ludlow dinner jacket in Italian wool,$550,https://www.jcrew.com/p/mens/categories/clothing/suits-and-tuxedos/suit-jackets/ludlow-dinner-jacket-in-italian-wool/BM182?display=standard&fit=Classic&color_name=antique-linen&colorProductCode=BM182,https://www.jcrew.com/s7-img-facade/BM182_NA7142,https://www.jcrew.com/s7-img-facade/BM182_NA7142_sw,https://www.jcrew.com/s7-img-facade/BM182_NA7142_m,[44 38 34]
Crosby Classic-fit suit jacket in Italian wool,$450,https://www.jcrew.com/p/mens/categories/clothing/blazers/suiting-blazers/crosby-classic-fit-suit-jacket-in-italian-wool/BM161?display=standard&fit=Classic&color_name=deep-navy&colorProductCode=BM161,https://www.jcrew.com/s7-img-facade/BM161_BL7493,https://www.jcrew.com/s7-img-facade/BM161_BL7493_sw,https://www.jcrew.com/s7-img-facade/BM161_BL7493_m,[38 36 47]
Crosby Classic-fit suit jacket in Italian wool,$450,https://www.jcrew.com/p/mens/categories/clothing/blazers/suiting-blazers/crosby-classic-fit-suit-jacket-in-italian-wool/BM161?display=standard&fit=Classic&color_name=deep-navy&colorProductCode=BM161,https://www.jcrew.com/s7-img-facade/BM161_WZ4605,https://www.jcrew.com/s7-img-facade/BM161_WZ4605_sw,https://www.jcrew.com/s7-img-facade/BM161_WZ4605_m,[67 67 81]
Crosby Classic-fit suit jacket in Italian wool,$450,https://www.jcrew.com/p/mens/categories/clothing/blazers/suiting-blazers/crosby-classic-fit-suit-jacket-in-italian-wool/BM161?display=standard&fit=Classic&color_name=deep-navy&colorProductCode=BM161,https://www.jcrew.com/s7-img-facade/BM161_BL7493,https://www.jcrew.com/s7-img-facade/BM161_BL7493_sw,https://www.jcrew.com/s7-img-facade/BM161_BL7493_m,[38 36 47]
Crosby Classic-fit suit jacket in Italian wool,$450,https://www.jcrew.com/p/mens/categories/clothing/blazers/suiting-blazers/crosby-classic-fit-suit-jacket-in-italian-wool/BM161?display=standard&fit=Classic&color_name=deep-navy&colorProductCode=BM161,https://www.jcrew.com/s7-img-facade/BM161_BK0001,https://www.jcrew.com/s7-img-facade/BM161_BK0001_sw,https://www.jcrew.com/s7-img-facade/BM161_BK0001_m,[31 30 27]
