Item,Cost,Product Url,Item Url,Swatch Url,Model Url,RGB
Tweed lady jacket with leather trim,$268-$298$229.50-$249.50,https://www.jcrew.com/m/womens/categories/clothing/blazers/lady-jacket/tweed-lady-jacket-with-leather-trim/ME242?display=standard&fit=Classic&color_name=natural&colorProductCode=CI623,https://www.jcrew.com/s7-img-facade/CI623_NA6445,https://www.jcrew.com/s7-img-facade/CI623_NA6445_sw,https://www.jcrew.com/s7-img-facade/CI623_NA6445_m,[228 216 195]
Tweed lady jacket with leather trim,$268-$298$229.50-$249.50,https://www.jcrew.com/m/womens/categories/clothing/blazers/lady-jacket/tweed-lady-jacket-with-leather-trim/ME242?display=standard&fit=Classic&color_name=natural&colorProductCode=CI623,https://www.jcrew.com/s7-img-facade/CI737_PK0220,https://www.jcrew.com/s7-img-facade/CI737_PK0220_sw,https://www.jcrew.com/s7-img-facade/CI737_PK0220_m,[248 187 192]
Tweed lady jacket with leather trim,$268-$298$229.50-$249.50,https://www.jcrew.com/m/womens/categories/clothing/blazers/lady-jacket/tweed-lady-jacket-with-leather-trim/ME242?display=standard&fit=Classic&color_name=natural&colorProductCode=CI623,https://www.jcrew.com/s7-img-facade/CI623_NA6445,https://www.jcrew.com/s7-img-facade/CI623_NA6445_sw,https://www.jcrew.com/s7-img-facade/CI623_NA6445_m,[228 216 195]
Tweed lady jacket with leather trim,$268-$298$229.50-$249.50,https://www.jcrew.com/m/womens/categories/clothing/blazers/lady-jacket/tweed-lady-jacket-with-leather-trim/ME242?display=standard&fit=Classic&color_name=natural&colorProductCode=CI623,https://www.jcrew.com/s7-img-facade/CI623_BK0001,https://www.jcrew.com/s7-img-facade/CI623_BK0001_sw,https://www.jcrew.com/s7-img-facade/CI623_BK0001_m,[21 19 20]
Superwide Stratus pant in city twill,$148$119.50(19% Off),https://www.jcrew.com/p/womens/categories/clothing/pants/wide-leg/superwide-stratus-pant-in-city-twill/CI935?display=standard&fit=Classic&color_name=black&colorProductCode=CI935,https://www.jcrew.com/s7-img-facade/CI935_BK0001,https://www.jcrew.com/s7-img-facade/CI935_BK0001_sw,https://www.jcrew.com/s7-img-facade/CI935_BK0001_m,[30 26 28]
Superwide Stratus pant in city twill,$148$119.50(19% Off),https://www.jcrew.com/p/womens/categories/clothing/pants/wide-leg/superwide-stratus-pant-in-city-twill/CI935?display=standard&fit=Classic&color_name=black&colorProductCode=CI935,https://www.jcrew.com/s7-img-facade/CI935_WZ3180,https://www.jcrew.com/s7-img-facade/CI935_WZ3180_sw,https://www.jcrew.com/s7-img-facade/CI935_WZ3180_m,[238 236 224]
Superwide Stratus pant in city twill,$148$119.50(19% Off),https://www.jcrew.com/p/womens/categories/clothing/pants/wide-leg/superwide-stratus-pant-in-city-twill/CI935?display=standard&fit=Classic&color_name=black&colorProductCode=CI935,https://www.jcrew.com/s7-img-facade/CI935_BK0001,https://www.jcrew.com/s7-img-facade/CI935_BK0001_sw,https://www.jcrew.com/s7-img-facade/CI935_BK0001_m,[30 26 28]
Collared short-sleeve cardigan sweater in stripe,$118$94.50(20% Off),https://www.jcrew.com/m/womens/categories/clothing/sweaters/cardigan/collared-short-sleeve-cardigan-sweater-in-stripe/ME234?display=standard&fit=Classic&color_name=ivory-navy&colorProductCode=CI633,https://www.jcrew.com/s7-img-facade/CI633_SR7037,https://www.jcrew.com/s7-img-facade/CI633_SR7037_sw,https://www.jcrew.com/s7-img-facade/CI633_SR7037_m,[57 57 63]
Collared short-sleeve cardigan sweater in stripe,$118$94.50(20% Off),https://www.jcrew.com/m/womens/categories/clothing/sweaters/cardigan/collared-short-sleeve-cardigan-sweater-in-stripe/ME234?display=standard&fit=Classic&color_name=ivory-navy&colorProductCode=CI633,https://www.jcrew.com/s7-img-facade/CI633_SR7037,https://www.jcrew.com/s7-img-facade/CI633_SR7037_sw,https://www.jcrew.com/s7-img-facade/CI633_SR7037_m,[57 57 63]
Collared short-sleeve cardigan sweater in stripe,$118$94.50(20% Off),https://www.jcrew.com/m/womens/categories/clothing/sweaters/cardigan/collared-short-sleeve-cardigan-sweater-in-stripe/ME234?display=standard&fit=Classic&color_name=ivory-navy&colorProductCode=CI633,https://www.jcrew.com/s7-img-facade/CG803_RD0157,https://www.jcrew.com/s7-img-facade/CG803_RD0157_sw,https://www.jcrew.com/s7-img-facade/CG803_RD0157_m,[209  15  39]
