Item,Cost,Product Url,Item Url,Swatch Url,Model Url,RGB
Relaxed-fit beach shirt in linen-cotton blend,$89.50$64.50(28% Off),https://www.jcrew.com/p/womens/categories/clothing/swimwear/relaxed-fit-beach-shirt-in-linen-cotton-blend/BX614?display=standard&fit=Classic&color_name=black&colorProductCode=BX614,https://www.jcrew.com/s7-img-facade/BX614_BK0001,https://www.jcrew.com/s7-img-facade/BX614_BK0001_sw,https://www.jcrew.com/s7-img-facade/BX614_BK0001_m,[34 32 36]
Relaxed-fit beach shirt in linen-cotton blend,$89.50$64.50(28% Off),https://www.jcrew.com/p/womens/categories/clothing/swimwear/relaxed-fit-beach-shirt-in-linen-cotton-blend/BX614?display=standard&fit=Classic&color_name=black&colorProductCode=BX614,https://www.jcrew.com/s7-img-facade/BX614_WY8040,https://www.jcrew.com/s7-img-facade/BX614_WY8040_sw,https://www.jcrew.com/s7-img-facade/BX614_WY8040_m,[218 210 204]
Relaxed-fit beach shirt in linen-cotton blend,$89.50$64.50(28% Off),https://www.jcrew.com/p/womens/categories/clothing/swimwear/relaxed-fit-beach-shirt-in-linen-cotton-blend/BX614?display=standard&fit=Classic&color_name=black&colorProductCode=BX614,https://www.jcrew.com/s7-img-facade/BX614_WT0002,https://www.jcrew.com/s7-img-facade/BX614_WT0002_sw,https://www.jcrew.com/s7-img-facade/BX614_WT0002_m,[240 235 241]
Relaxed-fit beach shirt in linen-cotton blend,$89.50$64.50(28% Off),https://www.jcrew.com/p/womens/categories/clothing/swimwear/relaxed-fit-beach-shirt-in-linen-cotton-blend/BX614?display=standard&fit=Classic&color_name=black&colorProductCode=BX614,https://www.jcrew.com/s7-img-facade/BX614_BK0001,https://www.jcrew.com/s7-img-facade/BX614_BK0001_sw,https://www.jcrew.com/s7-img-facade/BX614_BK0001_m,[34 32 36]
Bandeau one-piece in striped scrunchie,$128-$138select colors $99.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/bandeau-one-piece-in-striped-scrunchie/ME251?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI672,https://www.jcrew.com/s7-img-facade/CI672_YD8471,https://www.jcrew.com/s7-img-facade/CI672_YD8471_sw,https://www.jcrew.com/s7-img-facade/CI672_YD8471_m,[124 133 146]
Bandeau one-piece in striped scrunchie,$128-$138select colors $99.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/bandeau-one-piece-in-striped-scrunchie/ME251?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI672,https://www.jcrew.com/s7-img-facade/CI672_YD8471,https://www.jcrew.com/s7-img-facade/CI672_YD8471_sw,https://www.jcrew.com/s7-img-facade/CI672_YD8471_m,[124 133 146]
Bandeau one-piece in striped scrunchie,$128-$138select colors $99.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/bandeau-one-piece-in-striped-scrunchie/ME251?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI672,https://www.jcrew.com/s7-img-facade/CI254_YD7887,https://www.jcrew.com/s7-img-facade/CI254_YD7887_sw,https://www.jcrew.com/s7-img-facade/CI254_YD7887_m,[65 62 58]
Bandeau one-piece in striped scrunchie,$128-$138select colors $99.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/bandeau-one-piece-in-striped-scrunchie/ME251?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI672,https://www.jcrew.com/s7-img-facade/CI252_RD0156,https://www.jcrew.com/s7-img-facade/CI252_RD0156_sw,https://www.jcrew.com/s7-img-facade/CI252_RD0156_m,[196   1  22]
Bandeau one-piece in striped scrunchie,$128-$138select colors $99.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/bandeau-one-piece-in-striped-scrunchie/ME251?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI672,https://www.jcrew.com/s7-img-facade/CI252_BR8767,https://www.jcrew.com/s7-img-facade/CI252_BR8767_sw,https://www.jcrew.com/s7-img-facade/CI252_BR8767_m,[49 34 28]
Bandeau one-piece in striped scrunchie,$128-$138select colors $99.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/bandeau-one-piece-in-striped-scrunchie/ME251?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI672,https://www.jcrew.com/s7-img-facade/CI252_BK0001,https://www.jcrew.com/s7-img-facade/CI252_BK0001_sw,https://www.jcrew.com/s7-img-facade/CI252_BK0001_m,[25 26 25]
Long-sleeve dress in jersey crepe,$98$70.99–$79.50,https://www.jcrew.com/p/womens/categories/clothing/dresses-and-jumpsuits/long-sleeve-dress-in-jersey-crepe/CF784?display=standard&fit=Classic&color_name=berry-sangria&colorProductCode=CF784,https://www.jcrew.com/s7-img-facade/CF784_RD6510,https://www.jcrew.com/s7-img-facade/CF784_RD6510_sw,https://www.jcrew.com/s7-img-facade/CF784_RD6510_m,[125   1  21]
Long-sleeve dress in jersey crepe,$98$70.99–$79.50,https://www.jcrew.com/p/womens/categories/clothing/dresses-and-jumpsuits/long-sleeve-dress-in-jersey-crepe/CF784?display=standard&fit=Classic&color_name=berry-sangria&colorProductCode=CF784,https://www.jcrew.com/s7-img-facade/CF784_RD6510,https://www.jcrew.com/s7-img-facade/CF784_RD6510_sw,https://www.jcrew.com/s7-img-facade/CF784_RD6510_m,[125   1  21]
Long-sleeve dress in jersey crepe,$98$70.99–$79.50,https://www.jcrew.com/p/womens/categories/clothing/dresses-and-jumpsuits/long-sleeve-dress-in-jersey-crepe/CF784?display=standard&fit=Classic&color_name=berry-sangria&colorProductCode=CF784,https://www.jcrew.com/s7-img-facade/CF784_BK0001,https://www.jcrew.com/s7-img-facade/CF784_BK0001_sw,https://www.jcrew.com/s7-img-facade/CF784_BK0001_m,[24 20 21]
Collection contrast-trim wide-leg essential pant in wool blend,$248$180.99(27% Off),https://www.jcrew.com/p/womens/categories/clothing/pants/wide-leg/collection-contrast-trim-wide-leg-essential-pant-in-wool-blend/CC492?display=standard&fit=Classic&color_name=ivory&colorProductCode=CC492,https://www.jcrew.com/s7-img-facade/CC492_NA6434,https://www.jcrew.com/s7-img-facade/CC492_NA6434_sw,https://www.jcrew.com/s7-img-facade/CC492_NA6434_m,[95 92 85]
Scoopback one-piece in striped scrunchie,$128-$148select colors $99.50-$109.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/scoopback-one-piece-in-striped-scrunchie/ME262?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI673,https://www.jcrew.com/s7-img-facade/CI673_YD8471,https://www.jcrew.com/s7-img-facade/CI673_YD8471_sw,https://www.jcrew.com/s7-img-facade/CI673_YD8471_m,[109 119 141]
Scoopback one-piece in striped scrunchie,$128-$148select colors $99.50-$109.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/scoopback-one-piece-in-striped-scrunchie/ME262?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI673,https://www.jcrew.com/s7-img-facade/CI673_YD8471,https://www.jcrew.com/s7-img-facade/CI673_YD8471_sw,https://www.jcrew.com/s7-img-facade/CI673_YD8471_m,[109 119 141]
Scoopback one-piece in striped scrunchie,$128-$148select colors $99.50-$109.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/scoopback-one-piece-in-striped-scrunchie/ME262?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI673,https://www.jcrew.com/s7-img-facade/CI255_RD0156,https://www.jcrew.com/s7-img-facade/CI255_RD0156_sw,https://www.jcrew.com/s7-img-facade/CI255_RD0156_m,[206   1  30]
Scoopback one-piece in striped scrunchie,$128-$148select colors $99.50-$109.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/scoopback-one-piece-in-striped-scrunchie/ME262?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI673,https://www.jcrew.com/s7-img-facade/CI255_BR8767,https://www.jcrew.com/s7-img-facade/CI255_BR8767_sw,https://www.jcrew.com/s7-img-facade/CI255_BR8767_m,[41 24 18]
Scoopback one-piece in striped scrunchie,$128-$148select colors $99.50-$109.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/scoopback-one-piece-in-striped-scrunchie/ME262?display=standard&fit=Classic&color_name=white-blue&colorProductCode=CI673,https://www.jcrew.com/s7-img-facade/CI255_BK0001,https://www.jcrew.com/s7-img-facade/CI255_BK0001_sw,https://www.jcrew.com/s7-img-facade/CI255_BK0001_m,[21 22 21]
Crinkled ruffle-trim skirt in zebra print,$59.50$44.50(25% Off),https://www.jcrew.com/p/womens/categories/clothing/skirts/knee-length/crinkled-ruffle-trim-skirt-in-zebra-print/CI261?display=standard&fit=Classic&color_name=ivory-black&colorProductCode=CI261,https://www.jcrew.com/s7-img-facade/CI261_PT7198,https://www.jcrew.com/s7-img-facade/CI261_PT7198_sw,https://www.jcrew.com/s7-img-facade/CI261_PT7198_m,[62 54 51]
O-ring surf hipster bikini bottom in scrunchie,$69.50-$89.50select colors $49.50-$69.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/o-ring-surf-hipster-bikini-bottom-in-scrunchie/ME252?display=standard&fit=Classic&color_name=red-arroyo&colorProductCode=CI244,https://www.jcrew.com/s7-img-facade/CI244_RD0156,https://www.jcrew.com/s7-img-facade/CI244_RD0156_sw,https://www.jcrew.com/s7-img-facade/CI244_RD0156_m,[130   4  13]
O-ring surf hipster bikini bottom in scrunchie,$69.50-$89.50select colors $49.50-$69.50,https://www.jcrew.com/m/womens/categories/clothing/swimwear/textured/o-ring-surf-hipster-bikini-bottom-in-scrunchie/ME252?display=standard&fit=Classic&color_name=red-arroyo&colorProductCode=CI244,https://www.jcrew.com/s7-img-facade/CI671_YD8471,https://www.jcrew.com/s7-img-facade/CI671_YD8471_sw,https://www.jcrew.com/s7-img-facade/CI671_YD8471_m,[111 123 143]
