Item,Cost,Product Url,Item Url,Swatch Url,Model Url,RGB
Broken-in garment-dyed organic cotton oxford shirt,$89.50,https://www.jcrew.com/m/mens/categories/clothing/shirts/broken-in-oxford/broken-in-garment-dyed-organic-cotton-oxford-shirt/MP253?display=standard&fit=Classic&color_name=black&colorProductCode=BE994,https://www.jcrew.com/s7-img-facade/BE994_BK0001,https://www.jcrew.com/s7-img-facade/BE994_BK0001_sw,https://www.jcrew.com/s7-img-facade/BE994_BK0001_m,[25 21 22]
Short-sleeve cotton seed-stitch sweater-polo,$89.50,https://www.jcrew.com/p/mens/categories/clothing/polos/sweater-polos/short-sleeve-cotton-seed-stitch-sweater-polo/CG329?display=standard&fit=Classic&color_name=heather-saddle&colorProductCode=CG329,https://www.jcrew.com/s7-img-facade/CG329_RD5978,https://www.jcrew.com/s7-img-facade/CG329_RD5978_sw,https://www.jcrew.com/s7-img-facade/CG329_RD5978_m,[178  45  58]
Short-sleeve cotton seed-stitch sweater-polo,$89.50,https://www.jcrew.com/p/mens/categories/clothing/polos/sweater-polos/short-sleeve-cotton-seed-stitch-sweater-polo/CG329?display=standard&fit=Classic&color_name=heather-saddle&colorProductCode=CG329,https://www.jcrew.com/s7-img-facade/CG329_NA7255,https://www.jcrew.com/s7-img-facade/CG329_NA7255_sw,https://www.jcrew.com/s7-img-facade/CG329_NA7255_m,[199 156 117]
Short-sleeve cotton seed-stitch sweater-polo,$89.50,https://www.jcrew.com/p/mens/categories/clothing/polos/sweater-polos/short-sleeve-cotton-seed-stitch-sweater-polo/CG329?display=standard&fit=Classic&color_name=heather-saddle&colorProductCode=CG329,https://www.jcrew.com/s7-img-facade/CG329_NA7126,https://www.jcrew.com/s7-img-facade/CG329_NA7126_sw,https://www.jcrew.com/s7-img-facade/CG329_NA7126_m,[225 209 191]
Short-sleeve cotton seed-stitch sweater-polo,$89.50,https://www.jcrew.com/p/mens/categories/clothing/polos/sweater-polos/short-sleeve-cotton-seed-stitch-sweater-polo/CG329?display=standard&fit=Classic&color_name=heather-saddle&colorProductCode=CG329,https://www.jcrew.com/s7-img-facade/CG329_BL7398,https://www.jcrew.com/s7-img-facade/CG329_BL7398_sw,https://www.jcrew.com/s7-img-facade/CG329_BL7398_m,[32 35 50]
Short-sleeve cotton seed-stitch sweater-polo,$89.50,https://www.jcrew.com/p/mens/categories/clothing/polos/sweater-polos/short-sleeve-cotton-seed-stitch-sweater-polo/CG329?display=standard&fit=Classic&color_name=heather-saddle&colorProductCode=CG329,https://www.jcrew.com/s7-img-facade/CG329_BK0001,https://www.jcrew.com/s7-img-facade/CG329_BK0001_sw,https://www.jcrew.com/s7-img-facade/CG329_BK0001_m,[29 25 27]
Vintage-wash cotton henley,$59.50$39.99–$44.50,https://www.jcrew.com/p/mens/categories/clothing/t-shirts/vintage/vintage-wash-cotton-henley/CB487?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CB487,https://www.jcrew.com/s7-img-facade/CB487_WT0002,https://www.jcrew.com/s7-img-facade/CB487_WT0002_sw,https://www.jcrew.com/s7-img-facade/CB487_WT0002_m,[219 219 219]
Vintage-wash cotton henley,$59.50$39.99–$44.50,https://www.jcrew.com/p/mens/categories/clothing/t-shirts/vintage/vintage-wash-cotton-henley/CB487?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CB487,https://www.jcrew.com/s7-img-facade/CB487_RD5924,https://www.jcrew.com/s7-img-facade/CB487_RD5924_sw,https://www.jcrew.com/s7-img-facade/CB487_RD5924_m,[189  70  55]
Vintage-wash cotton henley,$59.50$39.99–$44.50,https://www.jcrew.com/p/mens/categories/clothing/t-shirts/vintage/vintage-wash-cotton-henley/CB487?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CB487,https://www.jcrew.com/s7-img-facade/CB487_NA0965,https://www.jcrew.com/s7-img-facade/CB487_NA0965_sw,https://www.jcrew.com/s7-img-facade/CB487_NA0965_m,[224 214 197]
Vintage-wash cotton henley,$59.50$39.99–$44.50,https://www.jcrew.com/p/mens/categories/clothing/t-shirts/vintage/vintage-wash-cotton-henley/CB487?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CB487,https://www.jcrew.com/s7-img-facade/CB487_GY7258,https://www.jcrew.com/s7-img-facade/CB487_GY7258_sw,https://www.jcrew.com/s7-img-facade/CB487_GY7258_m,[82 82 80]
Vintage-wash cotton henley,$59.50$39.99–$44.50,https://www.jcrew.com/p/mens/categories/clothing/t-shirts/vintage/vintage-wash-cotton-henley/CB487?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CB487,https://www.jcrew.com/s7-img-facade/CB487_GY0921,https://www.jcrew.com/s7-img-facade/CB487_GY0921_sw,https://www.jcrew.com/s7-img-facade/CB487_GY0921_m,[174 174 168]
Vintage-wash cotton henley,$59.50$39.99–$44.50,https://www.jcrew.com/p/mens/categories/clothing/t-shirts/vintage/vintage-wash-cotton-henley/CB487?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CB487,https://www.jcrew.com/s7-img-facade/CB487_GR1521,https://www.jcrew.com/s7-img-facade/CB487_GR1521_sw,https://www.jcrew.com/s7-img-facade/CB487_GR1521_m,[128 113  79]
Vintage-wash cotton henley,$59.50$39.99–$44.50,https://www.jcrew.com/p/mens/categories/clothing/t-shirts/vintage/vintage-wash-cotton-henley/CB487?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CB487,https://www.jcrew.com/s7-img-facade/CB487_GR0156,https://www.jcrew.com/s7-img-facade/CB487_GR0156_sw,https://www.jcrew.com/s7-img-facade/CB487_GR0156_m,[161 172 172]
Vintage-wash cotton henley,$59.50$39.99–$44.50,https://www.jcrew.com/p/mens/categories/clothing/t-shirts/vintage/vintage-wash-cotton-henley/CB487?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CB487,https://www.jcrew.com/s7-img-facade/CB487_BL9260,https://www.jcrew.com/s7-img-facade/CB487_BL9260_sw,https://www.jcrew.com/s7-img-facade/CB487_BL9260_m,[36 33 38]
Vintage-wash cotton henley,$59.50$39.99–$44.50,https://www.jcrew.com/p/mens/categories/clothing/t-shirts/vintage/vintage-wash-cotton-henley/CB487?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CB487,https://www.jcrew.com/s7-img-facade/CB487_BK0001,https://www.jcrew.com/s7-img-facade/CB487_BK0001_sw,https://www.jcrew.com/s7-img-facade/CB487_BK0001_m,[60 58 61]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_YD5723,https://www.jcrew.com/s7-img-facade/BJ706_YD5723_sw,https://www.jcrew.com/s7-img-facade/BJ706_YD5723_m,[188 182 169]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_YD5013,https://www.jcrew.com/s7-img-facade/BJ706_YD5013_sw,https://www.jcrew.com/s7-img-facade/BJ706_YD5013_m,[188 154 156]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_YD0778,https://www.jcrew.com/s7-img-facade/BJ706_YD0778_sw,https://www.jcrew.com/s7-img-facade/BJ706_YD0778_m,[185 201 198]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_WW0699,https://www.jcrew.com/s7-img-facade/BJ706_WW0699_sw,https://www.jcrew.com/s7-img-facade/BJ706_WW0699_m,[124 142 175]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_WT0002,https://www.jcrew.com/s7-img-facade/BJ706_WT0002_sw,https://www.jcrew.com/s7-img-facade/BJ706_WT0002_m,[226 228 227]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_WO8694,https://www.jcrew.com/s7-img-facade/BJ706_WO8694_sw,https://www.jcrew.com/s7-img-facade/BJ706_WO8694_m,[71 74 96]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_PT4962,https://www.jcrew.com/s7-img-facade/BJ706_PT4962_sw,https://www.jcrew.com/s7-img-facade/BJ706_PT4962_m,[184 166 140]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_PT4852,https://www.jcrew.com/s7-img-facade/BJ706_PT4852_sw,https://www.jcrew.com/s7-img-facade/BJ706_PT4852_m,[192 114  52]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_PT4422,https://www.jcrew.com/s7-img-facade/BJ706_PT4422_sw,https://www.jcrew.com/s7-img-facade/BJ706_PT4422_m,[144 141 132]
Slim Secret Wash cotton poplin shirt,$89.50select colors $44.99,https://www.jcrew.com/p/mens/categories/clothing/shirts/secret-wash/slim-secret-wash-cotton-poplin-shirt/BJ706?display=standard&fit=Slim&color_name=montclair-navy&colorProductCode=BJ706,https://www.jcrew.com/s7-img-facade/BJ706_BK0001,https://www.jcrew.com/s7-img-facade/BJ706_BK0001_sw,https://www.jcrew.com/s7-img-facade/BJ706_BK0001_m,[36 37 38]
1040 Athletic Tapered-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/athletic/1040-athletic-tapered-fit-stretch-chino-pant/MP714?display=standard&fit=Athletic%20Tapered&color_name=river-brown&colorProductCode=AV209,https://www.jcrew.com/s7-img-facade/AV209_BR6062,https://www.jcrew.com/s7-img-facade/AV209_BR6062_sw,https://www.jcrew.com/s7-img-facade/AV209_BR6062_m,[141  89  56]
1040 Athletic Tapered-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/athletic/1040-athletic-tapered-fit-stretch-chino-pant/MP714?display=standard&fit=Athletic%20Tapered&color_name=river-brown&colorProductCode=AV209,https://www.jcrew.com/s7-img-facade/AV209_WT0002,https://www.jcrew.com/s7-img-facade/AV209_WT0002_sw,https://www.jcrew.com/s7-img-facade/AV209_WT0002_m,[207 208 203]
1040 Athletic Tapered-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/athletic/1040-athletic-tapered-fit-stretch-chino-pant/MP714?display=standard&fit=Athletic%20Tapered&color_name=river-brown&colorProductCode=AV209,https://www.jcrew.com/s7-img-facade/AV209_NA5944,https://www.jcrew.com/s7-img-facade/AV209_NA5944_sw,https://www.jcrew.com/s7-img-facade/AV209_NA5944_m,[200 168 125]
1040 Athletic Tapered-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/athletic/1040-athletic-tapered-fit-stretch-chino-pant/MP714?display=standard&fit=Athletic%20Tapered&color_name=river-brown&colorProductCode=AV209,https://www.jcrew.com/s7-img-facade/AV209_NA0111,https://www.jcrew.com/s7-img-facade/AV209_NA0111_sw,https://www.jcrew.com/s7-img-facade/AV209_NA0111_m,[172 151 124]
1040 Athletic Tapered-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/athletic/1040-athletic-tapered-fit-stretch-chino-pant/MP714?display=standard&fit=Athletic%20Tapered&color_name=river-brown&colorProductCode=AV209,https://www.jcrew.com/s7-img-facade/AV209_GY0107,https://www.jcrew.com/s7-img-facade/AV209_GY0107_sw,https://www.jcrew.com/s7-img-facade/AV209_GY0107_m,[47 43 43]
1040 Athletic Tapered-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/athletic/1040-athletic-tapered-fit-stretch-chino-pant/MP714?display=standard&fit=Athletic%20Tapered&color_name=river-brown&colorProductCode=AV209,https://www.jcrew.com/s7-img-facade/AV209_BR6062,https://www.jcrew.com/s7-img-facade/AV209_BR6062_sw,https://www.jcrew.com/s7-img-facade/AV209_BR6062_m,[141  89  56]
1040 Athletic Tapered-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/athletic/1040-athletic-tapered-fit-stretch-chino-pant/MP714?display=standard&fit=Athletic%20Tapered&color_name=river-brown&colorProductCode=AV209,https://www.jcrew.com/s7-img-facade/AV209_BL8934,https://www.jcrew.com/s7-img-facade/AV209_BL8934_sw,https://www.jcrew.com/s7-img-facade/AV209_BL8934_m,[42 43 59]
1040 Athletic Tapered-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/athletic/1040-athletic-tapered-fit-stretch-chino-pant/MP714?display=standard&fit=Athletic%20Tapered&color_name=river-brown&colorProductCode=AV209,https://www.jcrew.com/s7-img-facade/AV209_BK0001,https://www.jcrew.com/s7-img-facade/AV209_BK0001_sw,https://www.jcrew.com/s7-img-facade/AV209_BK0001_m,[28 26 27]
Cotton piqué-stitch crewneck sweater,$79.50$53.99-$54.50,https://www.jcrew.com/m/mens/categories/clothing/sweaters/crewneck/cotton-piqueacute-stitch-crewneck-sweater/MP312?display=standard&fit=Classic&color_name=heather-charcoal&colorProductCode=BM043,https://www.jcrew.com/s7-img-facade/BM043_GY7530,https://www.jcrew.com/s7-img-facade/BM043_GY7530_sw,https://www.jcrew.com/s7-img-facade/BM043_GY7530_m,[79 79 78]
Cotton piqué-stitch crewneck sweater,$79.50$53.99-$54.50,https://www.jcrew.com/m/mens/categories/clothing/sweaters/crewneck/cotton-piqueacute-stitch-crewneck-sweater/MP312?display=standard&fit=Classic&color_name=heather-charcoal&colorProductCode=BM043,https://www.jcrew.com/s7-img-facade/BW571_SR4323,https://www.jcrew.com/s7-img-facade/BW571_SR4323_sw,https://www.jcrew.com/s7-img-facade/BW571_SR4323_m,[123  60  52]
Cotton piqué-stitch crewneck sweater,$79.50$53.99-$54.50,https://www.jcrew.com/m/mens/categories/clothing/sweaters/crewneck/cotton-piqueacute-stitch-crewneck-sweater/MP312?display=standard&fit=Classic&color_name=heather-charcoal&colorProductCode=BM043,https://www.jcrew.com/s7-img-facade/BM043_NA7126,https://www.jcrew.com/s7-img-facade/BM043_NA7126_sw,https://www.jcrew.com/s7-img-facade/BM043_NA7126_m,[220 210 193]
Cotton piqué-stitch crewneck sweater,$79.50$53.99-$54.50,https://www.jcrew.com/m/mens/categories/clothing/sweaters/crewneck/cotton-piqueacute-stitch-crewneck-sweater/MP312?display=standard&fit=Classic&color_name=heather-charcoal&colorProductCode=BM043,https://www.jcrew.com/s7-img-facade/BM043_GY7530,https://www.jcrew.com/s7-img-facade/BM043_GY7530_sw,https://www.jcrew.com/s7-img-facade/BM043_GY7530_m,[79 79 78]
Cotton piqué-stitch crewneck sweater,$79.50$53.99-$54.50,https://www.jcrew.com/m/mens/categories/clothing/sweaters/crewneck/cotton-piqueacute-stitch-crewneck-sweater/MP312?display=standard&fit=Classic&color_name=heather-charcoal&colorProductCode=BM043,https://www.jcrew.com/s7-img-facade/BM043_GY6469,https://www.jcrew.com/s7-img-facade/BM043_GY6469_sw,https://www.jcrew.com/s7-img-facade/BM043_GY6469_m,[155 156 155]
Cotton piqué-stitch crewneck sweater,$79.50$53.99-$54.50,https://www.jcrew.com/m/mens/categories/clothing/sweaters/crewneck/cotton-piqueacute-stitch-crewneck-sweater/MP312?display=standard&fit=Classic&color_name=heather-charcoal&colorProductCode=BM043,https://www.jcrew.com/s7-img-facade/BM043_GR6736,https://www.jcrew.com/s7-img-facade/BM043_GR6736_sw,https://www.jcrew.com/s7-img-facade/BM043_GR6736_m,[62 64 35]
Cotton piqué-stitch crewneck sweater,$79.50$53.99-$54.50,https://www.jcrew.com/m/mens/categories/clothing/sweaters/crewneck/cotton-piqueacute-stitch-crewneck-sweater/MP312?display=standard&fit=Classic&color_name=heather-charcoal&colorProductCode=BM043,https://www.jcrew.com/s7-img-facade/BM043_BL8133,https://www.jcrew.com/s7-img-facade/BM043_BL8133_sw,https://www.jcrew.com/s7-img-facade/BM043_BL8133_m,[20 25 46]
