Item,Cost,Product Url,Item Url,Swatch Url,Model Url,RGB
Heritage cotton ribbed sweater,$98$64.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/sweaters/heritage-cotton-ribbed-sweater/CG326?display=standard&fit=Classic&color_name=darkest-indigo-navy&colorProductCode=CG326,https://www.jcrew.com/s7-img-facade/CG326_BL7398,https://www.jcrew.com/s7-img-facade/CG326_BL7398_sw,https://www.jcrew.com/s7-img-facade/CG326_BL7398_m,[31 34 44]
Heritage cotton ribbed sweater,$98$64.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/sweaters/heritage-cotton-ribbed-sweater/CG326?display=standard&fit=Classic&color_name=darkest-indigo-navy&colorProductCode=CG326,https://www.jcrew.com/s7-img-facade/CG326_NA7126,https://www.jcrew.com/s7-img-facade/CG326_NA7126_sw,https://www.jcrew.com/s7-img-facade/CG326_NA7126_m,[206 192 177]
Heritage cotton ribbed sweater,$98$64.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/sweaters/heritage-cotton-ribbed-sweater/CG326?display=standard&fit=Classic&color_name=darkest-indigo-navy&colorProductCode=CG326,https://www.jcrew.com/s7-img-facade/CG326_HT1500,https://www.jcrew.com/s7-img-facade/CG326_HT1500_sw,https://www.jcrew.com/s7-img-facade/CG326_HT1500_m,[211  84  85]
Heritage cotton ribbed sweater,$98$64.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/sweaters/heritage-cotton-ribbed-sweater/CG326?display=standard&fit=Classic&color_name=darkest-indigo-navy&colorProductCode=CG326,https://www.jcrew.com/s7-img-facade/CG326_GR7901,https://www.jcrew.com/s7-img-facade/CG326_GR7901_sw,https://www.jcrew.com/s7-img-facade/CG326_GR7901_m,[62 60 43]
Heritage cotton ribbed sweater,$98$64.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/sweaters/heritage-cotton-ribbed-sweater/CG326?display=standard&fit=Classic&color_name=darkest-indigo-navy&colorProductCode=CG326,https://www.jcrew.com/s7-img-facade/CG326_BL7660,https://www.jcrew.com/s7-img-facade/CG326_BL7660_sw,https://www.jcrew.com/s7-img-facade/CG326_BL7660_m,[168 187 213]
Heritage cotton ribbed sweater,$98$64.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/sweaters/heritage-cotton-ribbed-sweater/CG326?display=standard&fit=Classic&color_name=darkest-indigo-navy&colorProductCode=CG326,https://www.jcrew.com/s7-img-facade/CG326_BL7398,https://www.jcrew.com/s7-img-facade/CG326_BL7398_sw,https://www.jcrew.com/s7-img-facade/CG326_BL7398_m,[31 34 44]
Cotton cable-knit sweater-vest,$89.50$69.50(22% Off),https://www.jcrew.com/p/mens/categories/clothing/sweaters/pullover/cotton-cable-knit-sweater-vest/CG340?display=standard&fit=Classic&color_name=darkest-indigo-navy&colorProductCode=CG340,https://www.jcrew.com/s7-img-facade/CG340_BL7398,https://www.jcrew.com/s7-img-facade/CG340_BL7398_sw,https://www.jcrew.com/s7-img-facade/CG340_BL7398_m,[23 27 34]
770™ Straight-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/chino/770trade-straight-fit-stretch-chino-pant/MP714?display=standard&fit=Straight&color_name=faded-black&colorProductCode=AR886,https://www.jcrew.com/s7-img-facade/AR886_BK5214,https://www.jcrew.com/s7-img-facade/AR886_BK5214_sw,https://www.jcrew.com/s7-img-facade/AR886_BK5214_m,[36 39 40]
770™ Straight-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/chino/770trade-straight-fit-stretch-chino-pant/MP714?display=standard&fit=Straight&color_name=faded-black&colorProductCode=AR886,https://www.jcrew.com/s7-img-facade/AR886_WZ2867,https://www.jcrew.com/s7-img-facade/AR886_WZ2867_sw,https://www.jcrew.com/s7-img-facade/AR886_WZ2867_m,[191 194 196]
770™ Straight-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/chino/770trade-straight-fit-stretch-chino-pant/MP714?display=standard&fit=Straight&color_name=faded-black&colorProductCode=AR886,https://www.jcrew.com/s7-img-facade/AR886_WZ1039,https://www.jcrew.com/s7-img-facade/AR886_WZ1039_sw,https://www.jcrew.com/s7-img-facade/AR886_WZ1039_m,[154 147 137]
770™ Straight-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/chino/770trade-straight-fit-stretch-chino-pant/MP714?display=standard&fit=Straight&color_name=faded-black&colorProductCode=AR886,https://www.jcrew.com/s7-img-facade/AR886_WT0002,https://www.jcrew.com/s7-img-facade/AR886_WT0002_sw,https://www.jcrew.com/s7-img-facade/AR886_WT0002_m,[223 224 219]
770™ Straight-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/chino/770trade-straight-fit-stretch-chino-pant/MP714?display=standard&fit=Straight&color_name=faded-black&colorProductCode=AR886,https://www.jcrew.com/s7-img-facade/AR886_NA5944,https://www.jcrew.com/s7-img-facade/AR886_NA5944_sw,https://www.jcrew.com/s7-img-facade/AR886_NA5944_m,[185 159 124]
770™ Straight-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/chino/770trade-straight-fit-stretch-chino-pant/MP714?display=standard&fit=Straight&color_name=faded-black&colorProductCode=AR886,https://www.jcrew.com/s7-img-facade/AR886_NA0111,https://www.jcrew.com/s7-img-facade/AR886_NA0111_sw,https://www.jcrew.com/s7-img-facade/AR886_NA0111_m,[213 203 190]
770™ Straight-fit stretch chino pant,$89.50,https://www.jcrew.com/m/mens/categories/clothing/pants-and-chinos/chino/770trade-straight-fit-stretch-chino-pant/MP714?display=standard&fit=Straight&color_name=faded-black&colorProductCode=AR886,https://www.jcrew.com/s7-img-facade/AR886_GY7317,https://www.jcrew.com/s7-img-facade/AR886_GY7317_sw,https://www.jcrew.com/s7-img-facade/AR886_GY7317_m,[68 55 55]
