Item,Cost,Product Url,Item Url,Swatch Url,Model Url,RGB
Barbour® Bedale wax jacket,$415,https://www.jcrew.com/p/mens/categories/clothing/coats-and-jackets/chore-and-utility-jacket/barbourreg-bedale-wax-jacket/BL135?display=standard&fit=Classic&color_name=navy&colorProductCode=BL135,https://www.jcrew.com/s7-img-facade/BL135_EE2488,https://www.jcrew.com/s7-img-facade/BL135_EE2488_sw,https://www.jcrew.com/s7-img-facade/BL135_EE2488_m,[56 60 60]
Barbour® Bedale wax jacket,$415,https://www.jcrew.com/p/mens/categories/clothing/coats-and-jackets/chore-and-utility-jacket/barbourreg-bedale-wax-jacket/BL135?display=standard&fit=Classic&color_name=navy&colorProductCode=BL135,https://www.jcrew.com/s7-img-facade/BL135_BR6294,https://www.jcrew.com/s7-img-facade/BL135_BR6294_sw,https://www.jcrew.com/s7-img-facade/BL135_BR6294_m,[50 45 43]
Barbour® Bedale wax jacket,$415,https://www.jcrew.com/p/mens/categories/clothing/coats-and-jackets/chore-and-utility-jacket/barbourreg-bedale-wax-jacket/BL135?display=standard&fit=Classic&color_name=navy&colorProductCode=BL135,https://www.jcrew.com/s7-img-facade/BL135_BL8133,https://www.jcrew.com/s7-img-facade/BL135_BL8133_sw,https://www.jcrew.com/s7-img-facade/BL135_BL8133_m,[41 43 45]
Barbour® Bedale wax jacket,$415,https://www.jcrew.com/p/mens/categories/clothing/coats-and-jackets/chore-and-utility-jacket/barbourreg-bedale-wax-jacket/BL135?display=standard&fit=Classic&color_name=navy&colorProductCode=BL135,https://www.jcrew.com/s7-img-facade/BL135_BK0001,https://www.jcrew.com/s7-img-facade/BL135_BK0001_sw,https://www.jcrew.com/s7-img-facade/BL135_BK0001_m,[54 54 56]
Short-sleeve vintage-wash cotton henley,$45$29.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/t-shirts/henley/short-sleeve-vintage-wash-cotton-henley/CG175?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CG175,https://www.jcrew.com/s7-img-facade/CG175_NA6445,https://www.jcrew.com/s7-img-facade/CG175_NA6445_sw,https://www.jcrew.com/s7-img-facade/CG175_NA6445_m,[212 203 184]
Short-sleeve vintage-wash cotton henley,$45$29.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/t-shirts/henley/short-sleeve-vintage-wash-cotton-henley/CG175?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CG175,https://www.jcrew.com/s7-img-facade/CG175_GY0921,https://www.jcrew.com/s7-img-facade/CG175_GY0921_sw,https://www.jcrew.com/s7-img-facade/CG175_GY0921_m,[166 164 160]
Short-sleeve vintage-wash cotton henley,$45$29.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/t-shirts/henley/short-sleeve-vintage-wash-cotton-henley/CG175?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CG175,https://www.jcrew.com/s7-img-facade/CG175_GR1521,https://www.jcrew.com/s7-img-facade/CG175_GR1521_sw,https://www.jcrew.com/s7-img-facade/CG175_GR1521_m,[132 124  91]
Short-sleeve vintage-wash cotton henley,$45$29.50(34% Off),https://www.jcrew.com/p/mens/categories/clothing/t-shirts/henley/short-sleeve-vintage-wash-cotton-henley/CG175?display=standard&fit=Classic&color_name=deepest-navy&colorProductCode=CG175,https://www.jcrew.com/s7-img-facade/CG175_BL9260,https://www.jcrew.com/s7-img-facade/CG175_BL9260_sw,https://www.jcrew.com/s7-img-facade/CG175_BL9260_m,[38 37 44]
Cashmere crewneck sweater,$138-$168,https://www.jcrew.com/m/mens/categories/clothing/sweaters/crewneck/cashmere-crewneck-sweater/ME102?display=standard&fit=Classic&color_name=hthr-birch&colorProductCode=BE895,https://www.jcrew.com/s7-img-facade/BE895_HT0804,https://www.jcrew.com/s7-img-facade/BE895_HT0804_sw,https://www.jcrew.com/s7-img-facade/BE895_HT0804_m,[241 221 202]
Cashmere crewneck sweater,$138-$168,https://www.jcrew.com/m/mens/categories/clothing/sweaters/crewneck/cashmere-crewneck-sweater/ME102?display=standard&fit=Classic&color_name=hthr-birch&colorProductCode=BE895,https://www.jcrew.com/s7-img-facade/CG316_SR6997,https://www.jcrew.com/s7-img-facade/CG316_SR6997_sw,https://www.jcrew.com/s7-img-facade/CG316_SR6997_m,[20 26 40]
