Item,Cost,Product Url,Model Url,Swatch Url,Item Url,RGB
Philadelphia Eagles Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/detroit-lions-graphic-crew-sweatshirt-58806840?categoryId=12202&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_122-4379-00702-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4379-00702-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4379-00702-100_prod1?policy=product-xsmall,[ 56 130 180]
Philadelphia Eagles Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/detroit-lions-graphic-crew-sweatshirt-58806840?categoryId=12202&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_122-4377-00696-200_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4377-00696-200_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4377-00696-200_prod1?policy=product-xsmall,[39 44 63]
Philadelphia Eagles Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/carolina-panthers-graphic-crew-sweatshirt-58154819?categoryId=12202&faceout=model&seq=48,https://img.abercrombie.com/is/image/anf/KIC_122-4136-00428-200_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4136-00428-200_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4136-00428-200_prod1?policy=product-xsmall,[42 43 58]
Philadelphia Eagles Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/carolina-panthers-graphic-crew-sweatshirt-58154819?categoryId=12202&faceout=model&seq=48,https://img.abercrombie.com/is/image/anf/KIC_122-4219-00377-112_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4219-00377-112_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4219-00377-112_prod1?policy=product-xsmall,[77 78 76]
Philadelphia Eagles Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/carolina-panthers-graphic-crew-sweatshirt-58154819?categoryId=12202&faceout=model&seq=48,https://img.abercrombie.com/is/image/anf/KIC_122-4118-00366-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4118-00366-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4118-00366-100_prod1?policy=product-xsmall,[115  63  49]
Philadelphia Eagles Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/carolina-panthers-graphic-crew-sweatshirt-58154819?categoryId=12202&faceout=model&seq=48,https://img.abercrombie.com/is/image/anf/KIC_122-4192-00473-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4192-00473-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4192-00473-100_prod1?policy=product-xsmall,[35 48 88]
Philadelphia Eagles Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/houston-texans-graphic-crew-sweatshirt-57520322?categoryId=12202&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_122-4130-00347-500_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4130-00347-500_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4130-00347-500_prod1?policy=product-xsmall,[150  69  75]
Philadelphia Eagles Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/houston-texans-graphic-crew-sweatshirt-57520322?categoryId=12202&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_122-4229-00380-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4229-00380-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4229-00380-100_prod1?policy=product-xsmall,[101  88 102]
Philadelphia Eagles Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/houston-texans-graphic-crew-sweatshirt-57520322?categoryId=12202&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_122-4191-00379-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4191-00379-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4191-00379-100_prod1?policy=product-xsmall,[57 48 40]
Philadelphia Eagles Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/detroit-lions-graphic-crew-sweatshirt-58806840?categoryId=12202&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_122-4376-00622-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4376-00622-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4376-00622-100_prod1?policy=product-xsmall,[81 43 42]
Philadelphia Eagles Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/detroit-lions-graphic-crew-sweatshirt-58806840?categoryId=12202&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_122-4378-00623-112_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4378-00623-112_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4378-00623-112_prod1?policy=product-xsmall,[49 42 38]
Philadelphia Eagles Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/houston-texans-graphic-crew-sweatshirt-57520322?categoryId=12202&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_122-4151-00367-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4151-00367-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4151-00367-100_prod1?policy=product-xsmall,[ 46 118 142]
Philadelphia Eagles Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-tee-53328819?categoryId=12202&faceout=model&seq=51,https://img.abercrombie.com/is/image/anf/KIC_123-3167-3328-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3167-3328-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3167-3328-100_prod1?policy=product-xsmall,[66 64 80]
Philadelphia Eagles Graphic Tee,$40,https://www.abercrombie.com/shop/us/p/philadelphia-eagles-graphic-tee-59251820?categoryId=12202&faceout=prod&seq=01,https://img.abercrombie.com/is/image/anf/KIC_123-5960-00468-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-5960-00468-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-5960-00468-100_prod1?policy=product-xsmall,[76 67 51]
Philadelphia Eagles Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-tee-53328819?categoryId=12202&faceout=model&seq=51,https://img.abercrombie.com/is/image/anf/KIC_123-3153-3321-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3153-3321-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3153-3321-100_prod1?policy=product-xsmall,[ 84 117 129]
Philadelphia Eagles Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/philadelphia-eagles-graphic-tee-57733916?categoryId=12202&faceout=model&seq=13,https://img.abercrombie.com/is/image/anf/KIC_123-4091-00268-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4091-00268-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4091-00268-100_prod1?policy=product-xsmall,[128 103 100]
Philadelphia Eagles Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/philadelphia-eagles-graphic-tee-57733916?categoryId=12202&faceout=model&seq=13,https://img.abercrombie.com/is/image/anf/KIC_123-4128-00275-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4128-00275-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4128-00275-100_prod1?policy=product-xsmall,[68 50 58]
